Time,Time Code,Country Name,Country Code,Electronic payments used to make payments (% age 15+) [GFDD.AI.22],Bank concentration (%) [GFDD.OI.01],Bank net interest margin (%) [GFDD.EI.01]
2006,YR2006,Saudi Arabia,SAU,..,53.68805,3.687636
2006,YR2006,Russian Federation,RUS,..,26.70958,5.520644
2006,YR2006,South Africa,ZAF,..,77.28702,3.430844
2006,YR2006,Spain,ESP,..,64.93584,1.755357
2006,YR2006,South Asia (IDA total),DSA,..,..,..
2006,YR2006,Switzerland,CHE,..,93.59629,0.6115026
2006,YR2006,United States,USA,..,32.80833,3.211213
2006,YR2006,United Kingdom,GBR,..,52.31615,1.534691
2006,YR2006,Vietnam,VNM,..,55.01307,3.06773
2007,YR2007,Argentina,ARG,..,41.64532,3.86371
2007,YR2007,Brazil,BRA,..,48.00673,7.528576
2007,YR2007,Australia,AUS,..,60.63155,2.263541
2007,YR2007,China,CHN,..,70.96217,2.967094
2007,YR2007,East Asia & Pacific (IDA total),DEA,..,..,..
2007,YR2007,El Salvador,SLV,..,62.41444,5.830315
2007,YR2007,Europe & Central Asia (IDA total),DEC,..,..,..
2007,YR2007,"Egypt, Arab Rep.",EGY,..,53.92954,1.895066
2007,YR2007,France,FRA,..,62.33659,0.6306416
2007,YR2007,Germany,DEU,..,73.63785,0.998934
2007,YR2007,Haiti,HTI,..,100,10.60181
2007,YR2007,Japan,JPN,..,38.2675,1.195796
2007,YR2007,India,IND,..,32.93119,3.33443
2007,YR2007,Indonesia,IDN,..,42.63811,6.502743
2007,YR2007,Italy,ITA,..,45.5672,2.225605
2007,YR2007,"Korea, Rep.",KOR,..,..,..
2007,YR2007,Least developed countries: UN classification,LDC,..,..,..
2007,YR2007,Mexico,MEX,..,59.84275,3.471352
2007,YR2007,Middle East & North Africa (IDA total),DMN,..,..,..
2007,YR2007,Nigeria,NGA,..,76.03303,6.634426
2007,YR2007,Nepal,NPL,..,35.82299,4.397047
2007,YR2007,Netherlands,NLD,..,91.41965,0.8417382
2007,YR2007,Pakistan,PAK,..,74.33465,3.65028
2007,YR2007,Philippines,PHL,..,49.95179,4.253044
2007,YR2007,Saudi Arabia,SAU,..,55.43754,3.531985
2007,YR2007,Russian Federation,RUS,..,23.81274,5.083131
2007,YR2007,South Africa,ZAF,..,77.32166,3.492957
2007,YR2007,Spain,ESP,..,67.86147,1.603659
2007,YR2007,South Asia (IDA total),DSA,..,..,..
2007,YR2007,Switzerland,CHE,..,94.10828,0.4919322
2007,YR2007,United States,USA,..,34.06005,3.135414
2007,YR2007,United Kingdom,GBR,..,59.3606,1.868864
2007,YR2007,Vietnam,VNM,..,47.34882,2.710215
2008,YR2008,Argentina,ARG,..,40.57864,3.842911
2008,YR2008,Brazil,BRA,..,51.31218,3.447092
2008,YR2008,Australia,AUS,..,63.06992,2.021124
2008,YR2008,China,CHN,..,72.70753,2.986934
2008,YR2008,East Asia & Pacific (IDA total),DEA,..,..,..
2008,YR2008,El Salvador,SLV,..,63.35163,5.638469
2008,YR2008,Europe & Central Asia (IDA total),DEC,..,..,..
2008,YR2008,"Egypt, Arab Rep.",EGY,..,58.31888,2.052358
2008,YR2008,France,FRA,..,61.98769,0.9048653
2008,YR2008,Germany,DEU,..,73.94848,0.9373739
2008,YR2008,Haiti,HTI,..,91.40858,9.698083
2008,YR2008,Japan,JPN,..,44.95909,1.249396
2008,YR2008,India,IND,..,32.51981,3.141147
2008,YR2008,Indonesia,IDN,..,43.35226,5.633601
2008,YR2008,Italy,ITA,..,52.52488,1.844988
2008,YR2008,"Korea, Rep.",KOR,..,..,..
2008,YR2008,Least developed countries: UN classification,LDC,..,..,..
2008,YR2008,Mexico,MEX,..,59.21181,4.83277
2008,YR2008,Middle East & North Africa (IDA total),DMN,..,..,..
2008,YR2008,Nigeria,NGA,..,78.25548,6.636384
2008,YR2008,Nepal,NPL,..,30.84994,3.727997
2008,YR2008,Netherlands,NLD,..,91.28211,0.5721643
2008,YR2008,Pakistan,PAK,..,74.79115,4.215409
2008,YR2008,Philippines,PHL,..,47.50814,3.672646
2008,YR2008,Saudi Arabia,SAU,..,53.15312,3.256047
2008,YR2008,Russian Federation,RUS,..,22.3073,5.000647
2008,YR2008,South Africa,ZAF,..,78.3717,2.712803
2008,YR2008,Spain,ESP,..,73.32315,1.356886
2008,YR2008,South Asia (IDA total),DSA,..,..,..
2008,YR2008,Switzerland,CHE,..,93.01556,0.4677093
2008,YR2008,United States,USA,..,35.51787,3.0996
2008,YR2008,United Kingdom,GBR,..,63.01719,1.698274
2008,YR2008,Vietnam,VNM,..,37.90861,2.497484
2009,YR2009,Argentina,ARG,..,42.32477,5.200531
2009,YR2009,Brazil,BRA,..,66.40308,6.280361
2009,YR2009,Australia,AUS,..,64.69945,2.026753
2009,YR2009,China,CHN,..,69.00539,2.304833
2009,YR2009,East Asia & Pacific (IDA total),DEA,..,..,..
2009,YR2009,El Salvador,SLV,..,63.91059,5.873926
2009,YR2009,Europe & Central Asia (IDA total),DEC,..,..,..
2009,YR2009,"Egypt, Arab Rep.",EGY,..,58.07486,2.389418
2009,YR2009,France,FRA,..,65.03152,1.018764
2009,YR2009,Germany,DEU,..,77.99927,1.124754
2009,YR2009,Haiti,HTI,..,91.19427,8.617114
2009,YR2009,Japan,JPN,..,44.70292,1.128542
2009,YR2009,India,IND,..,32.06525,2.730931
2009,YR2009,Indonesia,IDN,..,44.53396,6.60017
2009,YR2009,Italy,ITA,..,54.5753,1.616659
2009,YR2009,"Korea, Rep.",KOR,..,..,..
2009,YR2009,Least developed countries: UN classification,LDC,..,..,..
2009,YR2009,Mexico,MEX,..,41.55072,4.823021
2009,YR2009,Middle East & North Africa (IDA total),DMN,..,..,..
2009,YR2009,Nigeria,NGA,..,78.0383,2.556128
2009,YR2009,Nepal,NPL,..,28.13981,3.752455
2009,YR2009,Netherlands,NLD,..,89.30912,0.7989877
2009,YR2009,Pakistan,PAK,..,75.24137,4.180476
2009,YR2009,Philippines,PHL,..,46.66296,3.901176
2009,YR2009,Saudi Arabia,SAU,..,57.0146,3.067318
2009,YR2009,Russian Federation,RUS,..,29.26071,4.476003
2009,YR2009,South Africa,ZAF,..,77.78316,3.081743
2009,YR2009,Spain,ESP,..,70.84338,1.836235
2009,YR2009,South Asia (IDA total),DSA,..,..,..
2009,YR2009,Switzerland,CHE,..,91.16359,0.4957606
2009,YR2009,United States,USA,..,35.06626,3.411629
2009,YR2009,United Kingdom,GBR,..,57.04763,1.597129
2009,YR2009,Vietnam,VNM,..,41.5798,3.431548
2010,YR2010,Argentina,ARG,..,32.57479,5.648875
2010,YR2010,Brazil,BRA,..,61.85835,5.026937
2010,YR2010,Australia,AUS,..,68.05941,2.051654
2010,YR2010,China,CHN,..,59.53288,3.054287
2010,YR2010,East Asia & Pacific (IDA total),DEA,..,..,..
2010,YR2010,El Salvador,SLV,..,60.38453,2.599676
2010,YR2010,Europe & Central Asia (IDA total),DEC,..,..,..
2010,YR2010,"Egypt, Arab Rep.",EGY,..,59.62326,2.439566
2010,YR2010,France,FRA,..,66.3362,0.903239
2010,YR2010,Germany,DEU,..,79.37683,0.9450721
2010,YR2010,Haiti,HTI,..,94.39179,7.413112
2010,YR2010,Japan,JPN,..,44.00381,1.119896
2010,YR2010,India,IND,..,30.13038,3.084793
2010,YR2010,Indonesia,IDN,..,42.72377,6.848227
2010,YR2010,Italy,ITA,..,61.56187,1.592292
2010,YR2010,"Korea, Rep.",KOR,..,51.757,..
2010,YR2010,Least developed countries: UN classification,LDC,..,..,..
2010,YR2010,Mexico,MEX,..,50.98429,4.805215
2010,YR2010,Middle East & North Africa (IDA total),DMN,..,..,..
2010,YR2010,Nigeria,NGA,..,84.71514,2.243317
2010,YR2010,Nepal,NPL,..,26.14405,4.366167
2010,YR2010,Netherlands,NLD,..,77.31897,0.8058946
2010,YR2010,Pakistan,PAK,..,89.35013,3.116037
2010,YR2010,Philippines,PHL,..,47.60944,4.079188
2010,YR2010,Saudi Arabia,SAU,..,57.78489,2.92321
2010,YR2010,Russian Federation,RUS,..,29.48496,4.27708
2010,YR2010,South Africa,ZAF,..,79.17689,3.069654
2010,YR2010,Spain,ESP,..,67.29557,1.811443
2010,YR2010,South Asia (IDA total),DSA,..,..,..
2010,YR2010,Switzerland,CHE,..,89.85083,0.6079191
2010,YR2010,United States,USA,..,34.71307,3.80898
2010,YR2010,United Kingdom,GBR,..,56.81635,2.127417
2010,YR2010,Vietnam,VNM,..,40.18095,3.097723
2011,YR2011,Argentina,ARG,..,32.47734,6.939849
2011,YR2011,Brazil,BRA,..,62.03946,5.030931
2011,YR2011,Australia,AUS,..,68.63185,2.091921
2011,YR2011,China,CHN,..,53.3779,3.175632
2011,YR2011,East Asia & Pacific (IDA total),DEA,..,..,..
2011,YR2011,El Salvador,SLV,..,57.89364,6.202444
2011,YR2011,Europe & Central Asia (IDA total),DEC,..,..,..
2011,YR2011,"Egypt, Arab Rep.",EGY,..,59.43735,2.626691
2011,YR2011,France,FRA,..,62.64396,0.9717309
2011,YR2011,Germany,DEU,..,78.67049,0.7976035
2011,YR2011,Haiti,HTI,..,94.02042,6.354051
2011,YR2011,Japan,JPN,..,43.24121,1.125781
2011,YR2011,India,IND,..,29.4784,3.349387
2011,YR2011,Indonesia,IDN,..,41.82341,6.26243
2011,YR2011,Italy,ITA,..,62.55447,1.43244
2011,YR2011,"Korea, Rep.",KOR,..,51.3499,2.65326
2011,YR2011,Least developed countries: UN classification,LDC,..,..,..
2011,YR2011,Mexico,MEX,..,55.10509,3.124663
2011,YR2011,Middle East & North Africa (IDA total),DMN,..,..,..
2011,YR2011,Nigeria,NGA,..,45.2664,11.9194
2011,YR2011,Nepal,NPL,..,25.51838,4.451633
2011,YR2011,Netherlands,NLD,..,80.86779,1.032614
2011,YR2011,Pakistan,PAK,..,95.25009,3.269582
2011,YR2011,Philippines,PHL,..,40.58406,3.724693
2011,YR2011,Saudi Arabia,SAU,..,57.15681,2.868091
2011,YR2011,Russian Federation,RUS,..,27.99335,4.15607
2011,YR2011,South Africa,ZAF,..,77.80879,2.763536
2011,YR2011,Spain,ESP,..,56.34143,1.607787
2011,YR2011,South Asia (IDA total),DSA,..,..,..
2011,YR2011,Switzerland,CHE,..,90.51749,0.6209772
2011,YR2011,United States,USA,..,35.62636,3.645342
2011,YR2011,United Kingdom,GBR,..,57.38816,1.647957
2011,YR2011,Vietnam,VNM,..,37.89379,4.001793
2012,YR2012,Argentina,ARG,..,32.58154,7.872707
2012,YR2012,Brazil,BRA,..,49.3904,3.933845
2012,YR2012,Australia,AUS,..,70.8965,1.89526
2012,YR2012,China,CHN,..,99.9418,3.259657
2012,YR2012,East Asia & Pacific (IDA total),DEA,..,..,..
2012,YR2012,El Salvador,SLV,..,64.33301,6.123831
2012,YR2012,Europe & Central Asia (IDA total),DEC,..,..,..
2012,YR2012,"Egypt, Arab Rep.",EGY,..,58.16376,3.701155
2012,YR2012,France,FRA,..,61.80819,0.8235679
2012,YR2012,Germany,DEU,..,79.01711,0.8015723
2012,YR2012,Haiti,HTI,..,91.5954,6.306836
2012,YR2012,Japan,JPN,..,43.12173,1.022488
2012,YR2012,India,IND,..,28.80429,3.068149
2012,YR2012,Indonesia,IDN,..,40.60376,5.874317
2012,YR2012,Italy,ITA,..,61.80725,1.446643
2012,YR2012,"Korea, Rep.",KOR,..,50.41817,2.529585
2012,YR2012,Least developed countries: UN classification,LDC,..,..,..
2012,YR2012,Mexico,MEX,..,54.75074,2.777347
2012,YR2012,Middle East & North Africa (IDA total),DMN,..,..,..
2012,YR2012,Nigeria,NGA,..,39.10059,9.363226
2012,YR2012,Nepal,NPL,..,23.02354,3.697537
2012,YR2012,Netherlands,NLD,..,84.41895,1.158359
2012,YR2012,Pakistan,PAK,..,42.81449,8.128844
2012,YR2012,Philippines,PHL,..,41.30985,3.501565
2012,YR2012,Saudi Arabia,SAU,..,55.94012,2.761151
2012,YR2012,Russian Federation,RUS,..,30.77114,4.032587
2012,YR2012,South Africa,ZAF,..,77.04681,3.047073
2012,YR2012,Spain,ESP,..,56.88147,1.715941
2012,YR2012,South Asia (IDA total),DSA,..,..,..
2012,YR2012,Switzerland,CHE,..,82.07983,0.6952312
2012,YR2012,United States,USA,..,35.10137,3.525067
2012,YR2012,United Kingdom,GBR,..,54.9037,1.041306
2012,YR2012,Vietnam,VNM,..,49.60382,4.289268
2013,YR2013,Argentina,ARG,..,35.56231,8.060126
2013,YR2013,Brazil,BRA,..,61.0966,3.992892
2013,YR2013,Australia,AUS,..,71.11245,1.903321
2013,YR2013,China,CHN,..,99.93853,2.98053
2013,YR2013,East Asia & Pacific (IDA total),DEA,..,..,..
2013,YR2013,El Salvador,SLV,..,56.48249,6.442944
2013,YR2013,Europe & Central Asia (IDA total),DEC,..,..,..
2013,YR2013,"Egypt, Arab Rep.",EGY,..,57.32021,3.858091
2013,YR2013,France,FRA,..,60.35626,0.9279315
2013,YR2013,Germany,DEU,..,75.33124,0.8743087
2013,YR2013,Haiti,HTI,..,90.7866,6.66476
2013,YR2013,Japan,JPN,..,43.0024,0.8876038
2013,YR2013,India,IND,..,29.21181,3.010606
2013,YR2013,Indonesia,IDN,..,38.40766,5.231655
2013,YR2013,Italy,ITA,..,62.7711,1.299654
2013,YR2013,"Korea, Rep.",KOR,..,49.84227,2.233113
2013,YR2013,Least developed countries: UN classification,LDC,..,..,..
2013,YR2013,Mexico,MEX,..,37.34406,3.129581
2013,YR2013,Middle East & North Africa (IDA total),DMN,..,..,..
2013,YR2013,Nigeria,NGA,..,40.04971,7.724467
2013,YR2013,Nepal,NPL,..,22.5047,4.391518
2013,YR2013,Netherlands,NLD,..,86.40077,1.353267
2013,YR2013,Pakistan,PAK,..,42.65822,3.87404
2013,YR2013,Philippines,PHL,..,43.37424,3.238279
2013,YR2013,Saudi Arabia,SAU,..,54.92786,2.724701
2013,YR2013,Russian Federation,RUS,..,29.30925,4.120831
2013,YR2013,South Africa,ZAF,..,76.6933,3.073171
2013,YR2013,Spain,ESP,..,62.10035,1.336097
2013,YR2013,South Asia (IDA total),DSA,..,..,..
2013,YR2013,Switzerland,CHE,..,86.71101,0.8931687
2013,YR2013,United States,USA,..,35.03076,3.428011
2013,YR2013,United Kingdom,GBR,..,51.62252,1.498009
2013,YR2013,Vietnam,VNM,..,53.175,3.110981
2014,YR2014,Argentina,ARG,31.28153,36.61426,8.203206
2014,YR2014,Brazil,BRA,46.9631,63.43529,3.075857
2014,YR2014,Australia,AUS,93.22094,70.92371,1.974184
2014,YR2014,China,CHN,37.63516,40.58651,2.806075
2014,YR2014,East Asia & Pacific (IDA total),DEA,..,..,..
2014,YR2014,El Salvador,SLV,21.3396,58.81084,10.55745
2014,YR2014,Europe & Central Asia (IDA total),DEC,..,..,..
2014,YR2014,"Egypt, Arab Rep.",EGY,5.359989,60.14886,3.766746
2014,YR2014,France,FRA,90.0071,61.14015,0.7135003
2014,YR2014,Germany,DEU,93.32511,75.87688,0.9534323
2014,YR2014,Haiti,HTI,8.010692,90.09018,6.754228
2014,YR2014,Japan,JPN,80.47123,44.75411,0.9150746
2014,YR2014,India,IND,15.7233,29.34549,2.850189
2014,YR2014,Indonesia,IDN,16.39248,40.33564,5.67866
2014,YR2014,Italy,ITA,66.24659,64.38723,1.325132
2014,YR2014,"Korea, Rep.",KOR,83.3177,50.13593,2.059751
2014,YR2014,Least developed countries: UN classification,LDC,..,..,..
2014,YR2014,Mexico,MEX,25.25799,37.81215,3.431508
2014,YR2014,Middle East & North Africa (IDA total),DMN,..,..,..
2014,YR2014,Nigeria,NGA,29.17138,40.00892,7.122639
2014,YR2014,Nepal,NPL,5.621354,22.59654,4.243114
2014,YR2014,Netherlands,NLD,96.55459,87.60651,1.447282
2014,YR2014,Pakistan,PAK,6.18613,41.60359,4.512696
2014,YR2014,Philippines,PHL,17.5533,45.15558,3.436024
2014,YR2014,Saudi Arabia,SAU,45.52318,54.24134,2.678158
2014,YR2014,Russian Federation,RUS,44.33476,31.97024,4.274002
2014,YR2014,South Africa,ZAF,52.69738,77.38692,3.325192
2014,YR2014,Spain,ESP,90.27765,63.49393,1.310982
2014,YR2014,South Asia (IDA total),DSA,..,..,..
2014,YR2014,Switzerland,CHE,86.57699,87.52841,0.8812229
2014,YR2014,United States,USA,88.27854,36.16505,3.461277
2014,YR2014,United Kingdom,GBR,95.59079,55.14208,1.479173
2014,YR2014,Vietnam,VNM,10.59299,46.25313,2.704529
2015,YR2015,Argentina,ARG,..,54.03545,7.401737
2015,YR2015,Brazil,BRA,..,73.8635,4.062174
2015,YR2015,Australia,AUS,..,69.93542,1.552482
2015,YR2015,China,CHN,..,40.57019,2.778326
2015,YR2015,East Asia & Pacific (IDA total),DEA,..,..,..
2015,YR2015,El Salvador,SLV,..,82.16869,8.159332
2015,YR2015,Europe & Central Asia (IDA total),DEC,..,..,..
2015,YR2015,"Egypt, Arab Rep.",EGY,..,55.8673,4.182783
2015,YR2015,France,FRA,..,65.48411,0.5652908
2015,YR2015,Germany,DEU,..,77.25694,0.6737522
2015,YR2015,Haiti,HTI,..,80.28009,5.31735
2015,YR2015,Japan,JPN,..,44.56612,0.8236812
2015,YR2015,India,IND,..,29.61698,2.777501
2015,YR2015,Indonesia,IDN,..,39.81425,6.006371
2015,YR2015,Italy,ITA,..,61.46405,1.165442
2015,YR2015,"Korea, Rep.",KOR,..,64.12729,1.81135
2015,YR2015,Least developed countries: UN classification,LDC,..,..,..
2015,YR2015,Mexico,MEX,..,52.23878,4.830236
2015,YR2015,Middle East & North Africa (IDA total),DMN,..,..,..
2015,YR2015,Nigeria,NGA,..,37.64658,6.706002
2015,YR2015,Nepal,NPL,..,19.2763,4.259827
2015,YR2015,Netherlands,NLD,..,79.66119,1.492841
2015,YR2015,Pakistan,PAK,..,41.21306,4.2566
2015,YR2015,Philippines,PHL,..,46.00648,3.463054
2015,YR2015,Saudi Arabia,SAU,..,54.86071,2.593141
2015,YR2015,Russian Federation,RUS,..,54.89455,3.064507
2015,YR2015,South Africa,ZAF,..,78.64989,2.888509
2015,YR2015,Spain,ESP,..,58.35396,1.014577
2015,YR2015,South Asia (IDA total),DSA,..,..,..
2015,YR2015,Switzerland,CHE,..,77.98145,1.113232
2015,YR2015,United States,USA,..,42.28526,3.249305
2015,YR2015,United Kingdom,GBR,..,57.9376,1.970707
2015,YR2015,Vietnam,VNM,..,52.99893,3.567242
2016,YR2016,Argentina,ARG,..,52.52215,10.24061
2016,YR2016,Brazil,BRA,..,75.25742,7.454359
2016,YR2016,Australia,AUS,..,69.67937,1.767348
